Postcode,A,B,C,D,E,F,G,H,I,J,K,L,M,N,A01,A02,A03,A04,B05,B06,B07,C08,C09,C10,D11,D12,D13,E14,E15,E16,F17,F18,F19,G20,G21,G22,G23,H24,H25,H26,H27,I28,I29,I30,J31,J32,J33,J34,K35,K36,K37,L38,L39,L40,L41,L42,M43,M44,M45,M46,M47,N48,N49,N50,N51
2046,4691,68,4254,623,14,1423,276,1,,,454,12,22,,471,61,856,3303,,68,,4254,,,1,622,,,14,,1261,,162,276,,,,1,,,,,,,,,,,451,,3,,,,12,,,,5,17,,,,,
2047,1799,,3762,,,158,9,,,,,,,,170,39,862,728,,,,3762,,,,,,,,,158,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,116,,2816,,,29,615,1,,,35,,2,,1,,81,34,,,,465,2332,19,,,,,,,29,,,582,33,,,1,,,,,,,,,,,35,,,,,,,,,,2,,,,,,
2049,133,,4261,63,,160,1490,,,,372,,1,,,,53,80,,,,189,3936,136,,63,,,,,103,,57,1325,165,,,,,,,,,,,,,,372,,,,,,,,,,,1,,,,,
2050,11,,4385,,,,1161,3,,1,2,261,,,,,10,1,,,,834,1055,2496,,,,,,,,,,113,,,1048,3,,,,,,,,1,,,2,,,,,,261,,,,,,,,,,
2060,1575,,7426,,,,4,,,,1,,22,,138,2,1430,5,,,,4525,4,2897,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,22,,,,,
2061,981,,3173,,,,,,,,,2,1,,11,,970,,,,,1618,1,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,
2062,802,,2679,,,,,,,,,,,,286,69,378,69,,,,2679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2063,1893,,296,7,,47,,,,,,,26,,1531,99,124,139,,,,296,,,,7,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,,,,,
2064,877,,241,5,,26,2743,,,,,92,76,,593,,64,220,,,,234,7,,,5,,,,,26,,,,2743,,,,,,,,,,,,,,,,,,,,92,,,,,76,,,,,
2065,2925,,13534,,,75,409,,,,2,,1,,971,136,1372,446,,,,10212,,3322,,,,,,,75,,,166,243,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,
2066,5484,4,5919,31,1,218,2988,1,,,19,,97,,2465,177,336,2506,,4,,5633,,286,,31,,,1,,218,,,968,2020,,,1,,,,,,,,,,,19,,,,,,,,,,,97,,,,,
2067,3630,5,270,96,1,173,7488,1,,,43,,61,,842,3,498,2287,,5,,270,,,,96,,,1,,172,,1,61,7427,,,1,,,,,,,,,,,40,,3,,,,,,,,54,7,,,,,
2068,4566,10,1480,18,,208,100,,1,,33,,2,,2600,62,522,1382,,10,,1480,,,,18,,,,,144,,64,16,84,,,,,,,,1,,,,,,33,,,,,,,,,,2,,,,,,
2069,4167,5,38,36,,256,798,6,,,33,,7,,2827,75,125,1140,,5,,38,,,,36,,,,,256,,,,798,,,6,,,,,,,,,,,9,,24,,,,,,,,7,,,,,,
2070,3553,3,,123,1,517,1172,2,,1,60,,233,,1988,58,367,1140,,3,,,,,1,122,,1,,,516,,1,,1172,,,,,2,,,,,,1,,,58,,2,,,,,,,,5,228,,,,,
2071,3212,,,177,2,343,1183,4,1,5,4,,187,,1764,16,156,1276,,,,,,,,177,,2,,,343,,,,1183,,,,,4,,,1,,,5,,,4,,,,,,,,,,3,184,,,,,
2072,1510,1,,205,2,240,1618,14,,3,51,2,99,,718,8,78,706,,1,,,,,2,203,,1,1,,235,,5,,1618,,,3,,11,,,,,,3,,,51,,,,,,2,,10,,3,86,,,,,
2073,4851,8,,45,3,297,725,8,,14,15,,13,,1735,61,34,3021,,8,,,,,5,40,,,3,,297,,,,725,,,5,,3,,,,,,14,,,10,,5,,,,,,10,,3,,,,,,
2074,6166,3,,118,7,695,765,8,,8,86,,898,,1851,160,154,4001,,3,,,,,5,113,,,6,1,666,,29,93,665,7,,2,,6,,,,,,8,,,75,,11,,,,,,6,,10,882,,,,,
2075,5785,2,39,300,9,393,1116,1,1,1,3,,206,,1568,114,62,4041,,2,,39,,,7,293,,1,8,,393,,,,1116,,,1,,,,,1,,,1,,,3,,,,,,,,1,,2,203,,,,,
2076,5333,170,,732,466,619,526,33,2,11,101,,632,,1394,139,62,3738,1,169,,,,,17,715,,425,41,,618,,1,,526,,,15,,18,,,2,,,11,,,97,3,1,,,,,,21,,81,530,,,,,
2077,671,783,,2159,2570,611,7922,1973,36,33,80,3,582,,2,1,1,667,21,761,1,,,,53,2104,2,2276,289,5,548,,63,161,7755,6,,67,,1906,,,36,,,33,,,38,24,18,,3,,,,121,6,82,373,,,,,
2079,27,320,,305,1613,20,223,144,12,2,8,,9,,,,,27,2,318,,,,,11,294,,1494,118,1,20,,,,223,,,2,,142,,2,10,,,2,,,,8,,,,,,,6,,3,,,,,,
2080,6,109,,82,300,4,,6,14,,10,,11,,,,,6,,109,,,,,27,53,2,268,32,,4,,,,,,,6,,,,,14,,,,,,,7,3,,,,,,,1,10,,,,,,
2081,17,276,,122,1166,14,,4,101,,15,,14,2,,,,17,,275,1,,,,82,39,1,1053,107,6,14,,,,,,,4,,,,5,96,,,,,,,10,5,,,,,,,2,12,,,2,,,
2082,3,391,,154,977,12,,4,133,,42,,28,1,,,,3,,390,1,,,,128,23,3,904,72,1,12,,,,,,,4,,,,4,129,,,,,,,42,,,,,,,,1,27,,,1,,,
2083,6,57,,404,42,92,,32,27,,82,,73,31,,,1,5,,57,,,,,203,66,135,4,37,1,92,,,,,,,32,,,,4,23,,,,,,3,79,,,,,,,,1,72,,,18,,13,
2084,1006,9,,22,121,17,,,4,,1,,1,,222,8,77,699,,9,,,,,4,18,,26,57,38,17,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,1,,,,,,
2085,3221,37,,72,137,4,,1,1,3,98,,729,,32,23,6,3160,,37,,,,,1,71,,18,114,5,4,,,,,,,1,,,,1,,,,3,,,87,,11,,,,,,,,1,728,,,,,
2086,3949,99,,115,98,3,,2,1,2,2,,29,,45,14,1,3889,,99,,,,,5,110,,21,77,,3,,,,,,,2,,,,1,,,,2,,,1,,1,,,,,,,,1,28,,,,,
2087,3494,71,44,242,37,160,106,1,,,56,18,128,,157,7,2,3328,,71,,44,,,2,240,,5,32,,159,,1,74,32,,,1,,,,,,,,,,,45,,11,,,,18,,,,37,91,,,,,
2088,6513,,6700,,,11,5,1,,,15,,160,,4130,225,1990,168,,,,6700,,,,,,,,,11,,,5,,,,1,,,,,,,,,,,15,,,,,,,,,,1,159,,,,,
2089,829,,5754,,,,7,,,,,,138,,60,29,739,1,,,,5580,,174,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,
2090,1562,,5752,,,,,,,,,,,,452,58,1017,35,,,,5698,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2092,2241,,80,,,30,,,,,,,,,1205,56,66,914,,,,80,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093,5235,58,1682,69,7,554,1205,4,,,39,,2,,2186,211,288,2550,,58,,1682,,,1,68,,,7,,554,,,1203,2,,,4,,,,,,,,,,,39,,,,,,,,,,2,,,,,,
2094,1193,,1479,2,,60,,,,,,,,,133,60,642,358,,,,1479,,,,2,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2095,2357,,6445,1,1,19,,,,,2,,100,,383,19,1851,104,,,,5810,,635,,1,,,1,,19,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,100,,,,,
2096,2689,25,2865,66,4,601,151,3,,,27,,4,,582,120,794,1193,,25,,2865,,,2,64,,,4,,600,,1,151,,,,3,,,,,,,,,,,26,,1,,,,,,,,4,,,,,,
2097,3482,97,498,107,103,230,789,,,,140,,193,,502,18,186,2776,,97,,498,,,2,105,,15,88,,228,,2,789,,,,,,,,,,,,,,,140,,,,,,,,,,4,189,,,,,
2099,5137,513,1095,1110,239,589,7036,298,3,7,421,96,709,,598,25,43,4471,,513,,1095,,,9,1097,4,21,217,1,540,,49,6371,665,,,50,,248,,1,2,,,7,,,417,,4,,,,96,,,,58,651,,,,,
2100,4772,216,5,387,161,510,642,29,2,7,114,153,320,,152,10,7,4603,1,215,,5,,,,387,,19,137,5,468,,42,371,268,3,,22,,7,,1,1,,,7,,,109,,5,,,,153,,3,,11,306,,,,,
2101,3146,360,245,285,318,959,1115,14,9,,508,,935,,219,10,217,2700,,360,,245,,,19,196,70,61,210,47,822,,137,1046,,69,,14,,,,2,7,,,,,,501,7,,,,,,,,,67,868,,,,,
2102,1452,206,,496,116,689,1,9,,,10,,23,,38,,13,1401,25,181,,,,,11,485,,40,76,,679,,10,1,,,,9,,,,,,,,,,,9,,1,,,,,,,,21,2,,,,,
2103,1974,76,1,587,165,650,266,18,4,,219,,218,,245,4,60,1665,,76,,1,,,70,517,,30,135,,626,,24,190,,76,,18,,,,1,3,,,,,,214,,5,,,,,,,,62,156,,,,,
2104,1122,2,,34,49,25,,1,,,3,,424,,340,10,33,739,,2,,,,,2,29,3,7,42,,25,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,11,413,,,,,
2105,461,73,,35,29,43,,1,,,3,,1,,124,18,57,262,,73,,,,,10,6,19,17,12,,43,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,1,,,,,,
2106,2089,88,,178,159,645,116,36,3,,385,,108,,429,59,67,1534,,88,,,,,45,133,,50,109,,514,,131,29,,87,,36,,,,,3,,,,,,384,1,,,,,,,,1,96,11,,,,,
2107,4521,152,,84,461,232,10,14,5,,152,,229,,574,250,710,2987,,152,,,,,27,49,8,126,335,,227,,5,,,10,,14,,,,1,4,,,,,,146,3,3,,,,,,,,60,169,,,,,
2108,1116,7,,86,11,173,,4,,,,,18,,65,12,953,86,,7,,,,,25,1,60,2,9,,173,,,,,,,4,,,,,,,,,,,,,,,,,,,,,18,,,,,,
2110,2776,1,178,7,,492,,,1,,1,15,86,,1515,229,349,683,,1,,178,,,1,6,,,,,492,,,,,,,,,,,,1,,,,,,1,,,,,,15,,,,,86,,,,,
2111,3129,15,1079,127,7,401,1954,34,,,14,97,21,,767,85,200,2077,,15,,1072,,7,1,126,,,7,,393,,8,1556,398,,,34,,,,,,,,,,,14,,,,,,97,,,,21,,,,,,
2112,4316,234,467,2596,198,626,6596,189,2,1,130,66,204,,335,17,26,3938,,234,,465,,2,17,2579,,3,195,,519,,107,2586,4010,,,48,,141,,,2,,,1,,,120,1,9,,,,66,,,,43,161,,,,,
2113,3177,80,610,1195,71,195,7303,122,1,4,44,,278,3,56,8,3,3110,,80,,210,,400,10,1185,,,71,,149,,46,679,6623,1,,53,,69,,1,,,,4,,,21,,23,,,,,,3,,18,257,,3,,,
2114,2116,213,4,2243,121,277,6110,205,,3,37,,14,,22,1,3,2090,1,212,,4,,,4,2239,,6,115,,271,,6,474,5636,,,40,,165,,,,,,3,,,32,3,2,,,,,,,,13,1,,,,,
2115,241,747,1,2115,156,188,782,123,8,43,81,51,134,,,,,241,96,651,,1,,,4,2111,,10,146,,180,,8,11,771,,,115,,8,,2,6,,,43,,,18,8,55,,2,,49,,10,1,53,70,,,,,
2116,17,423,,1216,64,143,200,296,15,105,122,22,118,,,,,17,,423,,,,,4,1212,,10,54,,114,,29,112,83,5,,142,,154,,3,12,,,105,,,23,14,85,,11,,11,,22,,95,1,,,,,
2117,1001,694,,3612,355,664,62,1021,1,103,80,202,269,,37,,1,963,37,657,,,,,18,3594,,100,255,,469,,195,4,58,,,148,,873,,,1,,,103,,,61,11,8,,2,,200,,135,,133,1,,,,,
2118,2376,343,,2809,646,177,2939,309,2,72,30,,269,,15,,,2361,27,316,,,,,1,2808,,392,254,,165,,12,,2939,,,30,,279,,,2,,,72,,,19,,11,,,,,,96,,160,13,,,,,
2119,3253,21,,119,45,196,329,1,,4,1,,29,,242,59,6,2946,,21,,,,,1,86,32,29,16,,196,,,,329,,,1,,,,,,,,4,,,1,,,,,,,,4,,14,11,,,,,
2120,2502,523,10,995,1937,565,499,104,5,27,41,2,171,,2,42,,2458,115,408,,,,10,13,982,,1771,165,1,565,,,,499,,,8,,96,,1,4,,,27,,,11,3,27,,2,,,,26,,5,140,,,,,
2121,5516,24,,815,64,243,5920,26,,28,511,,126,,79,15,8,5414,,24,,,,,4,811,,11,53,,243,,,,5920,,,7,,19,,,,,,28,,,503,,8,,,,,,51,,53,22,,,,,
2122,3151,75,61,3252,224,830,3374,660,,20,460,9,373,,37,,6,3108,15,60,,61,,,,3252,,1,223,,209,,621,146,3124,4,100,23,,637,,,,,,20,,,455,,5,,,,9,,57,,21,295,,,,,
2125,4506,106,,226,258,182,2,18,1,7,1,,178,,368,17,,4121,2,104,,,,,5,221,,210,48,,182,,,,2,,,,,18,,,1,,,7,,,1,,,,,,,,4,,3,171,,,,,
2126,4670,160,,313,577,214,7,8,,10,7,,333,,3,,,4667,105,55,,,,,21,292,,529,48,,214,,,,7,,,4,,4,,,,,,10,,,,,7,,,,,,12,,21,300,,,,,
2127,235,592,245,400,3,487,10194,16,,,24,,1,,,,,235,433,159,,102,,143,2,398,,3,,,487,,,508,9678,8,,3,,13,,,,,,,,,20,,4,,,,,,,,1,,,,,,
2128,4,69,,216,5,43,155,399,8,75,75,1,15,,,,,4,,69,,,,,3,213,,,5,,33,,10,2,146,7,,35,,364,,2,6,,,75,,,21,6,48,,1,,,,7,,8,,,,,,
2130,240,5,780,30,,451,2005,2,,,184,,,,10,1,69,160,,5,,5,775,,,30,,,,,445,,6,967,1038,,,1,,1,,,,,,,,,183,,1,,,,,,,,,,,,,,
2131,291,3,46,882,12,497,6846,664,,,1095,,426,,4,2,62,223,,3,,46,,,,882,,,12,,395,,102,688,6158,,,6,,658,,,,,,,,,1095,,,,,,,,1,,18,407,,,,,
2132,908,75,18,1588,34,427,593,85,,1,139,,106,,48,1,33,826,,75,,17,1,,,1588,,,34,,347,,80,4,589,,,4,,81,,,,,,1,,,139,,,,,,,,,,5,101,,,,,
2133,357,223,,2157,87,275,312,740,,12,95,30,48,,4,,,353,,223,,,,,7,2150,,,87,,230,,45,266,46,,,31,,709,,,,,,12,,,93,,2,,,,30,,3,,19,26,,,,,
2134,506,10,8,1254,40,107,5237,426,,2,126,,,,43,1,143,319,,10,,8,,,1,1253,,,40,,89,,18,50,5083,,104,16,,410,,,,,,2,,,123,,3,,,,,,,,,,,,,,
